"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","brand","product_line","product_class","product_size","standard_cost","list_price"
1,2,2950,"25.02.2017",false,Approved,Solex,Standard,medium,medium,"53,62",71.49
2,3,3120,"21.05.2017",true,Approved,Trek Bicycles,Standard,medium,large,"388,92",2091.47
3,37,402,"16.10.2017",false,Approved,OHM Cycles,Standard,low,medium,"248,82",1793.43
4,88,3135,"31.08.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"381,10",1198.46
5,78,787,"01.10.2017",true,Approved,Giant Bicycles,Standard,medium,large,"709,48",1765.3
6,25,2339,"08.03.2017",true,Approved,Giant Bicycles,Road,medium,medium,"829,65",1538.99
7,22,1542,"21.04.2017",true,Approved,WeareA2B,Standard,medium,medium,"45,26",60.34
8,15,2459,"15.07.2017",false,Approved,WeareA2B,Standard,medium,medium,"13,44",1292.84
9,67,1305,"10.08.2017",false,Approved,Solex,Standard,medium,large,"380,74",1071.23
10,12,3262,"30.08.2017",true,Approved,WeareA2B,Standard,medium,medium,"161,60",1231.15
11,5,1986,"17.01.2017",false,Approved,Trek Bicycles,Mountain,low,medium,"459,71",574.64
12,61,2783,"05.01.2017",true,Approved,OHM Cycles,Standard,low,medium,"56,93",71.16
13,35,1243,"26.02.2017",true,Approved,Trek Bicycles,Standard,low,medium,"154,40",1057.51
14,16,2717,"10.09.2017",false,Approved,Norco Bicycles,Standard,high,small,"1479,11",1661.92
15,12,247,"11.06.2017",false,Approved,Giant Bicycles,Standard,medium,large,"709,48",1765.3
16,3,2961,"10.10.2017",false,Approved,Trek Bicycles,Standard,medium,large,"388,92",2091.47
17,79,2426,"03.04.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"818,01",1555.58
18,33,1842,"02.06.2017",false,Approved,Giant Bicycles,Standard,medium,small,"1167,18",1311.44
19,54,2268,"06.04.2017",true,Approved,WeareA2B,Standard,medium,medium,"13,44",1292.84
20,25,3002,"28.01.2017",true,Approved,Giant Bicycles,Road,medium,medium,"829,65",1538.99
21,27,1582,"09.10.2017",false,Approved,Trek Bicycles,Standard,medium,medium,"388,72",499.53
22,37,595,"29.06.2017",true,Approved,OHM Cycles,Standard,low,medium,"248,82",1793.43
23,37,2001,"08.04.2017",true,Approved,OHM Cycles,Standard,low,medium,"248,82",1793.43
24,82,515,"18.10.2017",false,Approved,Giant Bicycles,Road,medium,medium,"829,65",1538.99
25,89,2822,"11.06.2017",false,Approved,WeareA2B,Touring,medium,large,"57,74",1362.99
26,64,2596,"10.01.2017",false,Approved,Trek Bicycles,Standard,medium,large,"596,55",1469.44
27,64,2666,"11.04.2017",true,Approved,Trek Bicycles,Standard,medium,large,"596,55",1469.44
28,19,76,"23.12.2017",false,Approved,Trek Bicycles,Mountain,low,medium,"459,71",574.64
29,72,3368,"13.10.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"270,30",360.4
30,91,1173,"15.03.2017",false,Approved,WeareA2B,Standard,low,medium,"513,85",642.31
31,88,2810,"05.09.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"381,10",1198.46
32,1,3214,"18.02.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"954,82",1403.5
33,25,1272,"20.03.2017",false,Approved,Giant Bicycles,Road,medium,medium,"829,65",1538.99
34,99,2003,"28.02.2017",true,Approved,Trek Bicycles,Road,low,small,"1531,42",1720.7
35,0,2171,"20.08.2017",false,Approved,Norco Bicycles,Road,medium,medium,"376,84",544.05
36,92,3356,"07.07.2017",false,Approved,WeareA2B,Standard,medium,small,"1259,36",1415.01
37,14,1040,"09.01.2017",false,Approved,Solex,Standard,high,large,"1105,75",1842.92
38,2,2916,"06.12.2017",false,Approved,Solex,Standard,medium,medium,"53,62",71.49
39,12,427,"12.09.2017",false,Approved,WeareA2B,Standard,medium,medium,"161,60",1231.15
40,0,2448,"28.11.2017",true,Approved,Norco Bicycles,Road,medium,medium,"376,84",544.05
41,44,2570,"08.05.2017",true,Approved,WeareA2B,Standard,medium,medium,"108,76",1769.64
42,79,3398,"14.05.2017",false,Approved,Solex,Touring,medium,large,"675,03",2083.94
43,76,488,"17.03.2017",false,Cancelled,WeareA2B,Standard,low,medium,"513,85",642.31
44,46,165,"22.12.2017",false,Approved,Solex,Standard,low,medium,"74,51",1289.85
45,55,2787,"07.06.2017",true,Approved,Trek Bicycles,Road,medium,large,"598,76",1894.19
46,66,3053,"20.06.2017",false,Approved,Solex,Standard,medium,medium,"589,27",1163.89
47,35,475,"07.05.2017",true,Approved,Trek Bicycles,Standard,low,medium,"154,40",1057.51
48,81,1305,"10.06.2017",true,Approved,Solex,Standard,medium,medium,"649,49",1151.96
49,86,1251,"17.06.2017",false,Approved,OHM Cycles,Standard,medium,medium,"125,07",235.63
50,32,3103,"10.05.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"211,37",642.7
51,77,3108,"24.03.2017",false,Approved,Norco Bicycles,Road,medium,large,"795,10",1240.31
52,96,857,"27.11.2017",false,Approved,Giant Bicycles,Standard,medium,large,"993,66",1635.3
53,6,3455,"21.12.2017",true,Approved,OHM Cycles,Standard,high,medium,"136,73",227.88
54,27,2549,"09.02.2017",true,Approved,Trek Bicycles,Standard,medium,medium,"388,72",499.53
55,0,3140,"18.09.2017",false,Approved,Norco Bicycles,Standard,low,medium,"290,41",363.01
56,47,3406,"14.11.2017",false,Approved,Trek Bicycles,Road,low,small,"1531,42",1720.7
57,94,2294,"30.08.2017",true,Approved,Giant Bicycles,Standard,medium,large,"993,66",1635.3
58,91,1031,"14.11.2017",false,Approved,Solex,Standard,medium,medium,"75,26",100.35
59,93,993,"15.02.2017",true,Approved,OHM Cycles,Standard,high,medium,"874,90",1458.17
60,60,3473,"18.12.2017",false,Approved,Giant Bicycles,Standard,high,small,"1759,85",1977.36
61,0,1839,"24.02.2017",false,Approved,OHM Cycles,Road,high,large,"7,21",12.01
62,33,1824,"18.12.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1167,18",1311.44
63,35,368,"17.12.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"954,82",1403.5
64,0,2000,"08.07.2017",false,Approved,Trek Bicycles,Standard,medium,medium,"388,72",499.53
65,28,825,"16.05.2017",true,Approved,Norco Bicycles,Standard,medium,small,"1082,36",1216.14
66,86,3315,"23.02.2017",true,Approved,OHM Cycles,Standard,medium,medium,"125,07",235.63
67,2,75,"03.07.2017",true,Approved,Solex,Standard,medium,medium,"53,62",71.49
68,4,1498,"30.09.2017",true,Approved,Giant Bicycles,Standard,high,medium,"677,48",1129.13
69,38,1612,"21.10.2017",true,Approved,Trek Bicycles,Standard,medium,large,"388,92",2091.47
70,27,2192,"06.05.2017",true,Approved,Trek Bicycles,Standard,medium,medium,"388,72",499.53
71,54,419,"03.01.2017",false,Approved,WeareA2B,Standard,medium,medium,"13,44",1292.84
72,77,3307,"09.05.2017",true,Approved,WeareA2B,Standard,medium,medium,"108,76",1769.64
73,22,2430,"23.07.2017",false,Approved,WeareA2B,Standard,medium,medium,"45,26",60.34
74,56,1506,"21.01.2017",true,Approved,OHM Cycles,Standard,medium,medium,"137,90",183.86
75,58,1346,"20.06.2017",false,Approved,OHM Cycles,Standard,medium,medium,"141,40",912.52
76,22,927,"10.03.2017",false,Approved,WeareA2B,Standard,medium,medium,"45,26",60.34
77,50,763,"02.06.2017",false,Approved,WeareA2B,Standard,medium,small,"131,92",175.89
78,80,2397,"07.11.2017",false,Approved,OHM Cycles,Touring,low,medium,"933,84",1073.07
79,87,102,"12.09.2017",true,Approved,Giant Bicycles,Standard,high,medium,"707,40",1179.0
80,15,2884,"16.12.2017",false,Approved,Norco Bicycles,Standard,low,medium,"748,90",958.74
81,84,759,"07.10.2017",true,Approved,Giant Bicycles,Road,medium,medium,"594,68",792.9
82,21,773,"27.04.2017",true,Approved,Solex,Standard,medium,large,"380,74",1071.23
83,0,3398,"01.04.2017",true,Approved,OHM Cycles,Standard,medium,medium,"125,07",235.63
84,33,3297,"02.11.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1167,18",1311.44
85,84,2434,"13.02.2017",true,Approved,Trek Bicycles,Road,medium,medium,"215,14",290.62
86,1,1861,"19.07.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"954,82",1403.5
87,27,1233,"23.05.2017",false,Approved,Trek Bicycles,Standard,medium,medium,"388,72",499.53
88,31,1390,"06.08.2017",false,Approved,WeareA2B,Standard,medium,medium,"205,36",752.64
89,0,2682,"04.04.2017",true,Approved,OHM Cycles,Road,high,large,"7,21",12.01
90,62,439,"15.08.2017",true,Approved,Solex,Standard,medium,medium,"298,72",478.16
91,17,1579,"15.04.2017",true,Approved,Solex,Standard,high,medium,"614,80",1024.66
92,73,2984,"25.07.2017",true,Approved,Solex,Standard,medium,medium,"333,18",1945.43
93,33,3470,"28.11.2017",true,Approved,Giant Bicycles,Standard,medium,small,"1167,18",1311.44
94,86,1,"23.12.2017",false,Approved,OHM Cycles,Standard,medium,medium,"125,07",235.63
95,45,757,"26.02.2017",false,Approved,Solex,Standard,medium,medium,"84,99",441.49
96,1,1778,"21.02.2017",false,Approved,Giant Bicycles,Standard,medium,medium,"954,82",1403.5
97,80,211,"31.05.2017",true,Approved,OHM Cycles,Touring,low,medium,"933,84",1073.07
98,49,333,"23.06.2017",false,Approved,Trek Bicycles,Road,medium,medium,"400,13",533.51
99,95,32,"26.03.2017",false,Approved,Giant Bicycles,Standard,medium,large,"528,43",569.56
100,0,119,"31.07.2017",false,Approved,Solex,Standard,medium,medium,"298,72",478.16
101,18,2347,"27.07.2017",false,Approved,Norco Bicycles,Standard,high,medium,"689,18",1148.64
102,4,2353,"14.04.2017",false,Approved,Giant Bicycles,Standard,high,medium,"677,48",1129.13
103,33,788,"12.11.2017",false,Approved,Giant Bicycles,Standard,medium,small,"1167,18",1311.44
104,78,1468,"12.09.2017",false,Approved,Giant Bicycles,Standard,medium,large,"709,48",1765.3
105,89,821,"26.10.2017",false,Approved,WeareA2B,Touring,medium,large,"57,74",1362.99
106,70,2489,"15.02.2017",false,Approved,Trek Bicycles,Standard,high,medium,"297,43",495.72
107,79,2710,"22.12.2017",false,Approved,Norco Bicycles,Standard,medium,medium,"818,01",1555.58
108,26,947,"11.10.2017",true,Approved,WeareA2B,Standard,medium,medium,"762,63",1992.93
109,39,1335,"27.03.2017",true,Approved,Giant Bicycles,Standard,medium,large,"582,48",1812.75
110,36,1076,"04.11.2017",false,Approved,Solex,Standard,low,medium,"507,58",945.04
111,0,3320,"11.06.2017",true,Approved,OHM Cycles,Standard,low,medium,"56,93",71.16
112,84,779,"09.10.2017",false,Approved,Giant Bicycles,Road,medium,medium,"594,68",792.9
113,98,3296,"07.06.2017",true,Approved,Trek Bicycles,Standard,high,medium,"215,03",358.39
114,75,455,"24.10.2017",true,Approved,Giant Bicycles,Touring,medium,large,"863,95",1873.97
115,76,1779,"01.05.2017",false,Approved,WeareA2B,Standard,low,medium,"513,85",642.31
116,72,2703,"21.11.2017",true,Approved,Norco Bicycles,Standard,medium,medium,"270,30",360.4
117,42,806,"24.03.2017",false,Approved,OHM Cycles,Road,medium,small,"1610,90",1810.0
118,20,22,"21.03.2017",false,Approved,Trek Bicycles,Standard,medium,small,"1580,47",1775.81
119,64,1591,"20.02.2017",false,Approved,Trek Bicycles,Standard,medium,large,"596,55",1469.44
120,0,678,"16.06.2017",false,Approved,Trek Bicycles,Standard,high,medium,"297,43",495.72
